CodDistritoConcelho,P_IP_Total,P_IP_Inef,Cap_PTD,Util_Media,N_PTDs,Delta_PLED,PFolga,PVE,D,Rate_Ineficiencia
1203,117.4128002243042,15.5,16450,0.4150892857142857,122,10.075000000000001,8852.03875,1610.3999999999999,7251.713750000001,0.1320128637626303
1204,131.38810071563722,14.78,30870,0.46238709677419354,162,9.607,15268.421496774195,2138.4,13139.628496774196,0.11249116106783748
1205,85.0260002822876,4.65,10520,0.3543835616438356,74,3.0225000000000004,6248.534136986302,976.8,5274.756636986302,0.05468915372429528
1206,97.08420011901856,0.1,10770,0.34814814814814815,84,0.065,6458.808888888889,1108.8,5350.073888888888,0.0010300337220413504
1207,411.17120097732544,6.18,77230,0.42150769230769236,332,4.017,41102.80404923077,4382.4,36724.42104923077,0.015030235544976322
1208,106.94160040664673,18.3,12010,0.3730985915492958,71,11.895000000000001,6926.759042253521,937.1999999999999,6001.454042253522,0.1711214338518783
1209,134.1757012023926,29.41,9700,0.41295081967213115,62,19.116500000000002,5238.826885245901,818.4,4439.543385245902,0.21919020907994008
1210,106.90400065612793,8.0,10470,0.4584810126582278,82,5.2,5216.127493670886,1082.3999999999999,4138.927493670886,0.07483349501327971
1211,71.5793002204895,1.6400000000000001,12785,0.36435643564356435,106,1.066,7476.566732673268,1399.2,6078.432732673268,0.022911651761727502
1212,150.74160053253175,27.24,18603,0.3712820512820513,119,17.706,10760.356800000001,1570.8,9207.262800000002,0.1807065859972828
1213,375.74720193862913,15.31,40840,0.4757209302325581,225,9.951500000000001,19698.632632558143,2970.0,16738.584132558142,0.04074547972948202
1214,362.8256002807617,63.46,77420,0.39345890410958906,294,41.249,43201.73871232877,3880.7999999999997,39362.18771232877,0.17490496798156852
1215,96.51500063323975,0.73,15990,0.5227368421052632,95,0.4745,7020.922863157895,1254.0,5767.397363157896,0.007563591102009361
1301,462.912,1.43,81793,0.612675,407,0.9295,29146.035827,5372.4,23774.565326999997,0.003089140052536983
1302,392.66170017623904,92.528,27880,0.5914516129032258,187,60.14320000000001,10479.102709677421,2468.4,8070.845909677422,0.23564304835045155
1303,796.9501010570526,239.602,97735,0.6333431952662721,342,155.7413,32968.38658579882,4514.4,28609.72788579882,0.3006486851337349
1304,1766.391300907135,37.46,316215,0.4593086003372681,620,24.349,157296.75246880268,8184.0,149137.10146880266,0.02120707907741751
1305,636.8574000778199,0.0,82365,0.6026022304832713,277,0.0,30113.13390334573,3656.4,26456.73390334573,0.0
1306,2377.4975005111696,1530.43,362640,0.4252198581560283,728,994.7795000000001,191763.20898723407,9609.6,183148.38848723407,0.6437146620221273
1307,1307.0245003509522,991.25,92935,0.6314246575342466,371,644.3125,31513.26549589041,4897.2,27260.37799589041,0.7584020037373723
1308,2963.4207001953127,2509.78,403940,0.4366023738872403,689,1631.3570000000002,209372.5301246291,9094.8,201909.0871246291,0.846919912462846
1309,519.6345000419617,22.34,108525,0.614390243902439,298,14.521,38500.43487804878,3933.6,34581.35587804878,0.04299175670244372
1310,733.7159967117309,68.42999999999999,119300,0.5906214689265538,379,44.479499999999994,44931.75005649716,5002.8,39973.42955649716,0.09326496942506407
1311,1166.4726003074645,390.072,114580,0.6330637254901962,418,253.54680000000002,38680.073666666656,5517.599999999999,33416.020466666654,0.3344030540427464
1312,2526.37409992218,1030.52,837600,0.42190917516218723,1144,669.838,445472.1648934198,15100.8,431041.2028934198,0.4079047517276808
1313,1579.7376000556947,1513.92,118025,0.572315112540193,323,984.0480000000001,46439.308135048224,4263.599999999999,43159.75613504823,0.9583363717788485
1314,799.5136000175476,331.77,110070,0.5669794721407625,349,215.6505,43849.56394134898,4606.8,39458.41444134898,0.4149647985884397
1315,1756.7446001319884,32.26,188930,0.48968446601941745,419,20.969,88700.80072815534,5530.8,83190.96972815534,0.01836351168950582
1316,1112.3129000930787,59.66,173155,0.5118415841584159,518,38.778999999999996,77764.90485544555,6837.599999999999,70966.08385544554,0.053635986775850235
1317,2324.996098571777,137.72,763920,0.4178742038216561,1310,89.518,409121.73515923566,17292.0,391919.25315923564,0.05923450799964786
1318,503.72040001678465,132.13,84735,0.5134297520661157,249,85.8845,37931.167561983464,3286.7999999999997,34730.25206198346,0.262308217010066
1401,901.7118026924134,239.01999999999998,90503,0.43002557544757036,399,155.363,47457.643717647064,5266.8,42346.20671764706,0.26507360698430726
1402,349.4477004432678,80.57,32230,0.4693396226415094,129,52.3705,15734.929245283021,1702.8,14084.499745283023,0.23056382943083747
1403,364.7907002868652,0.8999999999999999,50955,0.6076767676767676,213,0.585,18391.56387878788,2811.6,15580.54887878788,0.0024671681577744585
1404,104.12400000000001,1.28,20130,0.6112222222222222,93,0.8320000000000001,7200.008933333334,1227.6,5973.240933333334,0.012293035227229071
1405,488.84640006828306,127.97999999999999,91763,0.5057751937984496,319,83.187,41723.426820155044,4210.8,37595.81382015504,0.2618000254929227
1406,312.8148001098633,12.025,54635,0.5850684931506849,239,7.81625,20856.200246575347,3154.7999999999997,17709.216496575347,0.03844127578291281
1407,296.65210001373293,87.405,32470,0.5078260869565218,200,56.813250000000004,14702.416,2640.0,12119.229249999999,0.2946380625519043
1408,126.34080038070678,11.010000000000002,10340,0.5170731707317073,42,7.156500000000001,4593.986341463415,554.4,4046.7428414634146,0.08714524497884464
1409,426.67120000457766,127.76,52710,0.4889814814814815,345,83.04400000000001,24780.923222222227,4554.0,20309.96722222223,0.2994343185071533
1410,223.46030000305174,0.07,51370,0.38999999999999996,104,0.045500000000000006,28828.844000000005,1372.8,27456.089500000006,0.0003132547481545672
1411,260.66020067977905,59.904,20815,0.5558267716535433,135,38.9376,8505.828488188976,1782.0,6762.766088188975,0.22981644241727583
1412,122.76020000457763,34.5,22205,0.6455681818181819,95,22.425,7240.545840909091,1254.0,6008.970840909091,0.28103571026043883
